normalized-losses,make,fuel,doors,body,drive,weight,engine-size,bhp,mpg,price
95.0,volvo,unleaded,four,saloon,rwd,3012,173,134.0,23,21485.0
85.0,honda,unleaded,four,saloon,fwd,2304,110,86.0,33,8845.0
148.0,dodge,unleaded,four,saloon,fwd,1989,90,68.0,38,6692.0
186.0,porsche,unleaded,two,hatchback,rwd,2778,151,143.0,27,22018.0
95.0,volvo,unleaded,four,saloon,rwd,2952,141,114.0,28,16845.0
137.0,honda,unleaded,two,hatchback,fwd,1713,92,58.0,54,6479.0
81.0,chevrolet,unleaded,four,saloon,fwd,1909,90,70.0,43,6575.0
89.0,subaru,unleaded,four,wagon,fwd,2455,108,94.0,31,10198.0
128.0,nissan,unleaded,two,saloon,fwd,1889,97,69.0,37,5499.0
161.0,peugot,unleaded,four,saloon,rwd,3130,134,142.0,24,18150.0
197.0,toyota,unleaded,two,hatchback,rwd,2976,171,161.0,24,16558.0
115.0,audi,unleaded,two,saloon,fwd,2507,136,110.0,25,15250.0
115.0,renault,unleaded,four,wagon,fwd,2579,132,,31,9295.0
154.0,plymouth,unleaded,four,hatchback,fwd,1967,90,68.0,38,6229.0
161.0,mitsubishi,unleaded,two,hatchback,fwd,1918,92,68.0,41,5389.0
102.0,subaru,unleaded,four,saloon,4wd,2385,108,82.0,25,9233.0
128.0,nissan,unleaded,four,saloon,fwd,3095,181,152.0,22,13499.0
65.0,toyota,unleaded,four,hatchback,fwd,2458,122,92.0,32,11248.0
106.0,nissan,unleaded,four,hatchback,fwd,2324,120,97.0,34,8949.0
65.0,toyota,diesel,four,saloon,fwd,2480,110,73.0,33,10698.0
106.0,nissan,unleaded,four,saloon,fwd,2302,120,97.0,34,9549.0
101.0,honda,unleaded,two,hatchback,fwd,1837,79,60.0,42,5399.0
188.0,bmw,unleaded,four,saloon,rwd,2765,164,121.0,28,21105.0
78.0,honda,unleaded,four,wagon,fwd,2024,92,76.0,34,7295.0
154.0,plymouth,unleaded,four,saloon,fwd,2191,98,68.0,38,7609.0
115.0,isuzu,unleaded,four,saloon,rwd,2337,111,78.0,29,6785.0
103.0,volvo,unleaded,four,saloon,rwd,2912,141,114.0,28,12940.0
103.0,nissan,unleaded,four,wagon,fwd,2024,97,69.0,37,7349.0
83.0,subaru,unleaded,two,hatchback,4wd,2240,108,73.0,31,7603.0
113.0,mazda,unleaded,four,saloon,fwd,1950,91,68.0,38,7395.0
115.0,renault,unleaded,two,hatchback,fwd,2460,132,,31,9895.0
168.0,toyota,unleaded,two,hatchback,rwd,2300,98,112.0,29,9538.0
107.0,honda,unleaded,two,saloon,fwd,2293,110,100.0,31,10345.0
154.0,plymouth,unleaded,four,saloon,fwd,1989,90,68.0,38,6692.0
161.0,peugot,diesel,four,saloon,rwd,3252,152,95.0,33,17950.0
148.0,dodge,unleaded,,saloon,fwd,2191,98,102.0,30,8558.0
102.0,subaru,unleaded,four,saloon,fwd,2340,108,94.0,32,9960.0
108.0,nissan,unleaded,four,saloon,fwd,3060,181,152.0,25,13499.0
115.0,peugot,diesel,four,wagon,rwd,3485,152,95.0,25,17075.0
115.0,alfa-romero,unleaded,two,hatchback,rwd,2823,152,154.0,26,16500.0
153.0,mitsubishi,unleaded,two,hatchback,fwd,2370,110,116.0,30,9959.0
115.0,jaguar,unleaded,two,saloon,rwd,3950,326,262.0,17,36000.0
103.0,volvo,unleaded,four,saloon,rwd,3045,130,162.0,22,18420.0
103.0,volvo,unleaded,four,saloon,rwd,2935,141,114.0,28,15985.0
137.0,mitsubishi,unleaded,four,saloon,fwd,2403,110,116.0,30,9279.0
168.0,toyota,unleaded,two,saloon,rwd,2265,98,112.0,29,9298.0
106.0,honda,unleaded,two,hatchback,fwd,2236,110,86.0,33,7895.0
74.0,volvo,unleaded,four,wagon,rwd,3034,141,114.0,28,13415.0
115.0,mazda,unleaded,four,hatchback,fwd,2425,122,84.0,32,11245.0
118.0,dodge,unleaded,two,hatchback,fwd,2128,98,102.0,30,7957.0
102.0,subaru,unleaded,four,saloon,4wd,2510,108,111.0,29,11259.0
194.0,nissan,unleaded,two,hatchback,rwd,3071,181,160.0,25,17199.0
101.0,honda,unleaded,two,hatchback,fwd,1956,92,76.0,34,7129.0
188.0,bmw,unleaded,two,saloon,rwd,2710,164,121.0,28,20970.0
74.0,volvo,unleaded,four,wagon,rwd,3157,130,162.0,22,18950.0
168.0,toyota,unleaded,two,saloon,rwd,2169,98,70.0,34,8058.0
158.0,audi,unleaded,four,saloon,fwd,2844,136,110.0,25,17710.0
110.0,dodge,unleaded,four,wagon,fwd,2535,122,88.0,30,8921.0
74.0,plymouth,unleaded,four,wagon,fwd,2535,122,88.0,30,8921.0
164.0,audi,unleaded,four,saloon,4wd,2824,136,115.0,22,17450.0
101.0,honda,unleaded,two,hatchback,fwd,1940,92,76.0,34,6529.0
89.0,subaru,unleaded,four,wagon,fwd,2290,108,82.0,32,7463.0
85.0,subaru,unleaded,four,wagon,4wd,2650,108,111.0,23,11694.0
161.0,peugot,diesel,four,saloon,rwd,3252,152,95.0,33,16900.0
85.0,subaru,unleaded,four,wagon,4wd,2420,108,82.0,29,8013.0
192.0,bmw,unleaded,four,saloon,rwd,2395,108,101.0,29,16925.0
118.0,mazda,unleaded,four,saloon,rwd,2670,140,120.0,27,18280.0
161.0,peugot,unleaded,four,saloon,rwd,3075,120,97.0,24,16630.0
87.0,toyota,unleaded,two,hatchback,fwd,1985,92,62.0,39,5348.0
134.0,toyota,unleaded,two,hardtop,rwd,2679,146,116.0,30,11199.0
115.0,alfa-romero,unleaded,two,convertible,rwd,2548,130,111.0,27,13495.0
94.0,volkswagen,diesel,four,saloon,fwd,2264,97,52.0,46,7995.0
91.0,toyota,unleaded,four,hatchback,fwd,2109,98,70.0,37,7198.0
115.0,mercedes-benz,unleaded,four,saloon,rwd,3900,308,184.0,16,40960.0
115.0,porsche,unleaded,two,hardtop,rwd,2756,194,207.0,25,32528.0
93.0,mercedes-benz,diesel,four,saloon,rwd,3515,183,123.0,25,25552.0
145.0,jaguar,unleaded,four,saloon,rwd,4066,258,176.0,19,32250.0
134.0,toyota,unleaded,two,hardtop,rwd,2540,146,116.0,30,8449.0
145.0,dodge,unleaded,two,hatchback,fwd,2811,156,145.0,24,12964.0
85.0,honda,unleaded,four,saloon,fwd,2465,110,101.0,28,12945.0
161.0,peugot,unleaded,four,saloon,rwd,3075,120,95.0,24,15580.0
91.0,toyota,diesel,four,hatchback,fwd,2275,110,56.0,47,7788.0
91.0,toyota,unleaded,four,saloon,fwd,2094,98,70.0,47,7738.0
148.0,dodge,unleaded,four,saloon,fwd,1989,90,68.0,38,7609.0
148.0,dodge,unleaded,four,hatchback,fwd,1967,90,68.0,38,6229.0
115.0,volkswagen,unleaded,two,convertible,fwd,2254,109,90.0,29,11595.0
87.0,toyota,unleaded,two,hatchback,fwd,2040,92,62.0,38,6338.0
115.0,mitsubishi,unleaded,two,hatchback,fwd,2926,156,145.0,24,14489.0
85.0,honda,unleaded,four,saloon,fwd,2372,110,86.0,33,10295.0
134.0,toyota,unleaded,two,convertible,rwd,2975,146,116.0,30,17669.0
104.0,mazda,unleaded,two,hatchback,fwd,1890,91,68.0,31,5195.0
103.0,nissan,unleaded,four,wagon,fwd,2037,97,69.0,37,7999.0
91.0,toyota,diesel,four,saloon,fwd,2275,110,56.0,36,7898.0
115.0,isuzu,unleaded,two,hatchback,rwd,2734,119,90.0,29,11048.0
102.0,subaru,unleaded,four,saloon,fwd,2190,108,82.0,33,7775.0
164.0,audi,unleaded,four,saloon,fwd,2337,109,102.0,30,13950.0
161.0,peugot,diesel,four,saloon,rwd,3197,152,95.0,33,13200.0
150.0,mazda,unleaded,two,hatchback,rwd,2380,70,101.0,23,11845.0
104.0,saab,unleaded,four,saloon,fwd,2847,121,160.0,26,18620.0
94.0,volkswagen,unleaded,four,saloon,fwd,2212,109,85.0,34,8195.0
95.0,volvo,diesel,four,saloon,rwd,3217,145,106.0,27,22470.0
256.0,volkswagen,unleaded,two,hatchback,fwd,2221,109,90.0,29,9980.0
104.0,mazda,unleaded,two,hatchback,fwd,1905,91,68.0,38,6795.0
115.0,mitsubishi,unleaded,two,hatchback,fwd,2921,156,145.0,24,14869.0
110.0,honda,unleaded,four,saloon,fwd,2010,92,76.0,34,7295.0
115.0,audi,unleaded,four,wagon,fwd,2954,136,110.0,25,18920.0
115.0,peugot,unleaded,four,wagon,rwd,3285,120,95.0,24,16695.0
128.0,nissan,unleaded,two,saloon,fwd,1951,97,69.0,37,7299.0
125.0,mitsubishi,unleaded,four,saloon,fwd,2405,122,88.0,32,8189.0
115.0,toyota,unleaded,four,wagon,rwd,3151,161,156.0,24,15750.0
94.0,volkswagen,unleaded,four,saloon,fwd,2275,109,85.0,34,8495.0
122.0,nissan,unleaded,four,saloon,fwd,1938,97,69.0,37,6849.0
158.0,audi,unleaded,four,saloon,fwd,3086,131,140.0,20,23875.0
115.0,bmw,unleaded,four,saloon,rwd,3055,164,121.0,25,24565.0
115.0,mazda,unleaded,four,saloon,fwd,2410,122,84.0,32,10245.0
65.0,toyota,unleaded,four,saloon,fwd,2414,122,92.0,32,10898.0
104.0,saab,unleaded,four,saloon,fwd,2758,121,110.0,28,15510.0
121.0,chevrolet,unleaded,two,hatchback,fwd,1488,61,48.0,53,5151.0
115.0,mercury,unleaded,two,hatchback,rwd,2910,140,175.0,24,16503.0
90.0,toyota,unleaded,four,saloon,rwd,3131,171,156.0,24,15690.0
83.0,subaru,unleaded,two,hatchback,fwd,2050,97,69.0,36,5118.0
134.0,toyota,unleaded,two,hatchback,rwd,2714,146,116.0,30,11549.0
94.0,volkswagen,unleaded,four,saloon,fwd,2300,109,100.0,32,9995.0
115.0,mazda,diesel,four,saloon,rwd,2700,134,72.0,39,18344.0
150.0,mazda,unleaded,two,hatchback,rwd,2385,70,101.0,23,13645.0
115.0,peugot,diesel,four,wagon,rwd,3430,152,95.0,25,13860.0
113.0,mazda,unleaded,four,saloon,fwd,1945,91,68.0,38,6695.0
95.0,volvo,unleaded,four,saloon,rwd,3049,141,160.0,25,19045.0
65.0,toyota,unleaded,four,saloon,fwd,2326,122,92.0,34,8948.0
129.0,mazda,unleaded,two,hatchback,fwd,2385,122,84.0,32,10595.0
104.0,mazda,unleaded,two,hatchback,fwd,1900,91,68.0,38,6095.0
128.0,nissan,unleaded,two,saloon,fwd,1918,97,69.0,37,6649.0
118.0,dodge,unleaded,two,hatchback,fwd,1876,90,68.0,38,6377.0
115.0,mazda,unleaded,four,saloon,fwd,2410,122,84.0,32,8495.0
168.0,toyota,unleaded,two,hatchback,rwd,2204,98,70.0,34,8238.0
74.0,volvo,unleaded,four,wagon,rwd,3042,141,114.0,28,16515.0
104.0,saab,unleaded,four,saloon,fwd,2695,121,110.0,28,12170.0
106.0,honda,unleaded,two,hatchback,fwd,2289,110,86.0,33,9095.0
91.0,toyota,unleaded,four,hatchback,fwd,2122,98,70.0,34,8358.0
115.0,volkswagen,unleaded,four,wagon,fwd,2563,109,88.0,31,12290.0
115.0,alfa-romero,unleaded,two,convertible,rwd,2548,130,111.0,27,16500.0
150.0,mazda,unleaded,two,hatchback,rwd,2380,70,101.0,23,10945.0
77.0,toyota,unleaded,four,wagon,fwd,2280,92,62.0,37,6918.0
150.0,saab,unleaded,two,hatchback,fwd,2707,121,110.0,28,15040.0
91.0,toyota,unleaded,four,wagon,4wd,3110,92,62.0,32,8778.0
231.0,nissan,unleaded,two,hatchback,rwd,3139,181,160.0,25,18399.0
108.0,nissan,unleaded,four,wagon,fwd,3296,181,152.0,22,14399.0
119.0,plymouth,unleaded,two,hatchback,fwd,2128,98,102.0,30,7957.0
128.0,nissan,diesel,two,saloon,fwd,2017,103,55.0,50,7099.0
161.0,mitsubishi,unleaded,two,hatchback,fwd,1944,92,68.0,38,6189.0
115.0,plymouth,unleaded,two,hatchback,rwd,2818,156,145.0,24,12764.0
95.0,volvo,unleaded,four,saloon,rwd,3062,141,114.0,25,22625.0
118.0,dodge,unleaded,two,hatchback,fwd,1876,90,68.0,41,5572.0
115.0,volkswagen,diesel,four,saloon,fwd,2579,97,68.0,38,13845.0
115.0,mercedes-benz,unleaded,two,hardtop,rwd,3715,304,184.0,16,45400.0
115.0,peugot,unleaded,four,wagon,rwd,3230,120,97.0,24,12440.0
115.0,bmw,unleaded,four,saloon,rwd,3230,209,182.0,22,30760.0
128.0,nissan,unleaded,two,hatchback,fwd,2028,97,69.0,37,7799.0
122.0,volkswagen,unleaded,two,saloon,fwd,2209,109,85.0,34,7975.0
194.0,nissan,unleaded,two,hatchback,rwd,3139,181,200.0,23,19699.0
